league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,west-ham-united-fc,2017,Aaron Cresswell,D,27,2600000,50000
epl,west-ham-united-fc,2017,Adrian San Miguel del Castillo,GK,30,2600000,50000
epl,west-ham-united-fc,2017,Andy Carroll,F,28,4680000,90000
epl,west-ham-united-fc,2017,Angelo Ogbonna,D,29,3640000,70000
epl,west-ham-united-fc,2017,Arthur Masuaku,D,24,2080000,40000
epl,west-ham-united-fc,2017,Cheikhou Kouyaté,M,27,3120000,60000
epl,west-ham-united-fc,2017,Declan Rice,M,18,156000,3000
epl,west-ham-united-fc,2017,Domingos Quina,M,18,416000,8000
epl,west-ham-united-fc,2017,Edimilson Fernandes,M,21,1560000,30000
epl,west-ham-united-fc,2017,James Collins,D,34,1820000,35000
epl,west-ham-united-fc,2017,Javier Hernández,F,29,7280000,140000
epl,west-ham-united-fc,2017,José Fonte,D,33,3900000,75000
epl,west-ham-united-fc,2017,Josh Cullen,M,21,416000,8000
epl,west-ham-united-fc,2017,Manuel Lanzini,M,24,3640000,70000
epl,west-ham-united-fc,2017,Mark Noble,M,30,2600000,50000
epl,west-ham-united-fc,2017,Marko Arnautović,M,28,5200000,100000
epl,west-ham-united-fc,2017,Michail Antonio,M,27,3640000,70000
epl,west-ham-united-fc,2017,Pablo Zabaleta,D,32,3900000,75000
epl,west-ham-united-fc,2017,Pedro Obiang,M,25,2860000,55000
epl,west-ham-united-fc,2017,Reece Oxford,D,18,1040000,20000
epl,west-ham-united-fc,2017,Sam Byram,D,24,1560000,30000
epl,west-ham-united-fc,2017,Sead Haksabanovic,M,18,260000,5000
epl,west-ham-united-fc,2017,Winston Reid,D,29,3640000,70000
